S,5.5e-12,2000,100,6.7e-15,1.1
S,5e-12,2130,200,4e-15,1.2
S,4.2e-12,240,240,1.9e-12,1.4
S,4.8e-11,-250,200,1.1e-10,1.3
S,2.9e-12,160,100,1.7e-12,1.2
S,1.1e-14,500,500,2e-15,1.3
S,2.3e-13,-600,200,1.7e-12,1.3
S,6.5e-12,-120,120,9.7e-12,1.1
S,1e-11,0,150,1e-11,1.5
S,0,0,0,3e-16,0
S,0,0,0,3e-17,0
S,7.8e-11,3400,750,8.6e-16,3
S,4e-10,340,300,1.3e-10,1.3
S,0,0,0,2.2e-11,1.5
S,1.8e-11,390,200,4.5e-12,1.5
S,0,0,0,0,1.3
S,1.3e-12,-380,270,4.6e-12,1.5
S,1.7e-12,710,200,1.6e-13,1.2
S,3.5e-12,-250,50,8.1e-12,1.15
S,0,0,0,3.5e-12,1.5
S,1.5e-11,3600,400,8.5e-17,1.25
S,0,0,0,2e-16,0
S,2.1e-11,-100,100,3e-11,1.3
S,5.8e-12,-220,100,1.2e-11,1.5
S,2e-12,1400,200,1.8e-14,1.1
S,1.5e-11,-170,100,2.6e-11,1.3
S,1.2e-13,2450,150,3.2e-17,1.15
S,8.5e-13,2450,500,2.3e-16,1.5
S,0,0,0,6e-21,0
S,4.3e-12,930,500,1.9e-13,3
S,4e-12,-450,150,1.8e-11,1.3
S,2.1e-12,-650,250,1.9e-11,3
S,4.9e-11,0,300,4.9e-11,1.5
S,3.5e-13,-1140,500,1.6e-11,2
S,0,0,0,5e-19,0
S,0,0,0,2e-21,0
S,1.1e-10,0,250,1.1e-10,1.3
S,1.1e-11,4000,1000,1.5e-17,10
S,3e-11,1600,250,1.4e-13,1.3
S,3.4e-11,1600,250,1.6e-13,1.25
S,1.8e-11,1100,200,4.5e-13,1.25
S,1e-14,4100,500,1e-20,3
S,1.2e-14,2630,100,1.7e-18,1.25
S,6.5e-15,1900,200,1.1e-17,1.2
S,1.5e-13,0,300,1.5e-13,1.3
S,4.6e-12,1965,200,6.3e-15,1.1
S,4.1e-12,2000,200,5e-15,1.15
S,2e-12,-480,200,1e-11,1.25
S,6.7e-12,600,300,8.9e-13,1.2
S,3.8e-12,-200,200,7.4e-12,1.5
S,4e-13,0,200,4e-13,1.3
S,1.2e-13,400,150,3.1e-14,3
S,8.7e-12,1070,100,2.4e-13,1.1
S,1e-11,660,100,1.1e-12,1.2
S,5.6e-12,-270,200,1.4e-11,1.2
S,7e-12,235,100,3.2e-12,1.3
S,4e-13,-200,400,8e-13,1.3
S,2.2e-12,685,300,2.2e-13,1.15
S,4.4e-12,1664,200,1.7e-14,1.5
S,5e-13,890,500,2.4e-14,3
S,0,0,0,4e-14,0
S,8.2e-13,450,300,1.8e-13,3
S,6.7e-15,-600,600,5e-14,5
S,3.8e-13,-800,400,5.6e-12,2
S,7.5e-13,-700,250,8e-12,1.5
S,4.5e-13,-1000,600,1.3e-11,2
S,0,0,0,4e-19,0
S,0,0,0,5.8e-16,0
S,1.4e-12,1900,300,2.4e-15,1.3
S,0,0,0,3e-16,0
S,5.4e-12,220,150,2.6e-12,2
S,3.5e-12,-140,140,5.5e-12,1.3
S,9.1e-12,0,200,9.1e-12,1.3
S,3.9e-14,900,300,1.9e-15,1.5
S,1.1e-11,1200,600,2e-13,5
S,0,0,0,3e-17,0
S,2.5e-13,-190,190,4.7e-13,1.5
S,3e-12,-280,60,7.7e-12,1.15
S,1.3e-12,-640,200,1.1e-11,1.5
S,0,0,0,2e-14,0
S,6.3e-14,550,200,1e-14,1.5
S,6.8e-14,0,300,6.8e-14,2
S,2.6e-12,-365,150,8.7e-12,1.2
S,2.9e-12,-500,150,1.5e-11,1.5
S,5.3e-12,-360,150,1.8e-11,1.4
S,2.7e-11,0,250,2.7e-11,3
S,5e-11,0,250,5e-11,5
S,3e-12,1500,300,2e-14,1.1
S,1.9e-12,1550,200,1e-14,1.2
S,1e-12,2440,200,2.8e-16,1.3
S,0,0,0,2e-17,0
S,7e-12,1100,300,1.7e-13,1.4
S,2.4e-12,1260,200,3.5e-14,1.2
S,4e-12,1070,500,1.1e-13,2
S,1.8e-12,2170,150,1.2e-15,1.1
S,4e-12,1650,300,1.6e-14,1.5
S,1.5e-12,1750,200,4.2e-15,1.1
S,1.6e-12,1680,300,5.7e-15,2
S,5.6e-13,1700,300,1.9e-15,1.3
S,2.2e-11,230,200,1e-11,1.5
S,1.4e-10,500,200,2.6e-11,1.2
S,1.4e-11,0,200,1.4e-11,1.3
S,6e-12,-400,200,2.3e-11,1.3
S,1.6e-10,260,200,6.7e-11,1.4
S,0,0,0,1e-14,0
S,8.2e-12,-300,200,2.2e-11,1.5
S,1e-11,0,250,1e-11,1.5
S,0,0,0,3.4e-16,0
S,7.5e-12,690,400,7.5e-13,2
S,3.8e-11,2040,500,4e-14,2
S,0,0,0,5.1e-16,0
S,0,0,0,2e-16,0
S,3e-11,5000,0,1.5e-18,0
S,2e-12,1400,600,1.8e-14,1.3
S,3e-12,3600,0,2e-17,0
S,3.7e-11,-110,70,5.4e-11,1.2
S,0,0,0,2e-15,0
S,2.6e-12,1420,200,2.2e-14,1.1
S,4.9e-12,400,100,1.3e-12,1.2
S,0,0,0,3e-15,0
S,0,0,0,5e-16,0
S,5.4e-12,-320,150,1.6e-11,1.1
S,3e-11,-70,70,3.8e-11,1.2
S,2.4e-12,960,300,1e-13,2
S,2.7e-11,530,150,4.5e-12,1.3
S,1e-11,3300,350,1.5e-16,2
S,1.7e-13,0,300,1.7e-13,3
S,2.9e-12,800,200,2e-13,1.5
S,2.1e-12,4700,1000,3e-19,2.5
S,0,0,0,1e-19,0
S,1.4e-12,900,400,6.7e-14,1.2
S,1.1e-11,-120,150,1.7e-11,1.5
S,4.5e-13,-800,200,6.8e-12,2
S,2.6e-12,350,100,8e-13,1.2
S,3e-12,500,500,5e-13,3
S,2.4e-12,1250,300,3.6e-14,2
S,1.2e-12,330,200,3.9e-13,1.5
S,4e-12,1400,250,3.6e-14,1.2
S,2.1e-12,900,100,1e-13,1.1
S,1.1e-12,715,150,1e-13,1.2
S,1e-12,2300,0,5e-16,0
S,1e-12,3700,0,5e-18,0
S,1e-12,3600,0,6e-18,0
S,2.8e-12,1270,200,3.9e-14,1.2
S,1.7e-12,1250,150,2.6e-14,1.2
S,1e-12,1600,150,4.7e-15,1.1
S,2.4e-12,360,200,7.2e-13,3
S,1.8e-12,1550,150,1e-14,1.1
S,4.9e-13,-450,200,2.2e-12,1.25
S,9.4e-12,1200,200,1.7e-13,1.25
S,8.2e-12,600,300,1.1e-12,1.5
S,1.7e-12,1700,150,5.7e-15,1.2
S,1.3e-12,1800,150,3.1e-15,1.2
S,3.6e-12,1600,400,1.7e-14,2
S,1e-12,900,150,4.9e-14,1.2
S,1e-12,1250,150,1.5e-14,1.1
S,2.3e-12,1640,200,9.4e-15,1.2
S,7e-13,900,150,3.4e-14,1.2
S,9.2e-13,1280,150,1.3e-14,1.2
S,8e-13,1350,150,8.6e-15,1.2
S,1.8e-11,-170,200,3.2e-11,1.5
S,4.1e-11,450,200,9.1e-12,2
S,4.8e-13,-700,250,5e-12,1.4
S,0,0,0,2e-21,0
S,2.5e-12,600,300,3.4e-13,2
S,0,0,0,2e-14,0
S,0,0,0,5e-17,0
S,0,0,0,1e-21,0
S,2.9e-11,260,100,1.2e-11,1.15
S,3.7e-11,2300,200,1.6e-14,1.25
S,1.1e-11,980,500,4.1e-13,1.5
S,2.4e-11,0,400,2.4e-11,1.5
S,0,0,0,2e-16,0
S,1.1e-11,980,500,4.1e-13,1.1
S,0,0,0,7.4e-14,2
S,8.1e-11,30,100,7.3e-11,1.15
S,0,0,0,1.6e-10,1.5
S,5.4e-11,0,250,5.4e-11,1.5
S,7.7e-11,90,90,5.7e-11,1.1
